node_id,widget_type,label,title,name,ui_tab,ui_group,order,width,height,topic,min,max,step,format,disabled
7cc35f13028d320b,ui_spacer,,,spacer,Termostati,Living,6,1,1,,,,,,False
c0c8b1fef5a96e04,ui_spacer,,,spacer,Termostati,Living,8,1,1,,,,,,False
8a7ea2ab5ebee693,ui_spacer,,,spacer,Termostati,Bagno Camera,5,1,1,,,,,,False
1cd96cb0c358e6d8,ui_spacer,,,spacer,Termostati,Bagno Camera,7,1,1,,,,,,False
8aa981ccbe24b4ad,ui_spacer,,,spacer,Termostati,Bagno Servizio,5,1,1,,,,,,False
e0f43d4aa1a32fb3,ui_spacer,,,spacer,Termostati,Bagno Servizio,7,1,1,,,,,,False
da2e1f45.33e288,ui_switch,Sala,,,Illuminazione,Illuminazione,2,0,0,,,,,,False
ad32e56b.84cfe,ui_switch,Libreria,,,Illuminazione,Illuminazione,3,0,0,,,,,,False
7a84beaa.30de78,ui_switch,Televisione,,,Illuminazione,Illuminazione,4,0,0,,,,,,False
c34afda4.5fb698,ui_gauge,watt,Fotovoltaico,,Energia,Energia,2,5,4,,0,3000,,{{value}},False
3277f0b9.66be28,ui_gauge,watt,Consumo,,Energia,Energia,1,5,4,,0,3000,,{{value}},False
7a8867d5.22928,ui_gauge,watt,Grid,,Energia,Energia,3,5,4,,-3000,3000,,{{value}},False
52266b5f.aec394,ui_slider,,,,VMC,VMC,2,0,0,,1,4,1,,False
d9e717a8.22bbd8,ui_gauge,,Fan Speed,,VMC,VMC,1,0,0,,1,4,,{{value}},False
b2d18fc6.b31b28,ui_switch,{{msg.topic}},,,Impianti Termici,Termo Focolare,8,0,0,,,,,,False
79f13b45.97b324,ui_gauge,,Livello Potenza,,Impianti Termici,Termo Focolare,9,0,0,,1,6,,{{value}},False
f8704c83.c71d3,ui_slider,,,,Impianti Termici,Termo Focolare,10,0,0,,1,6,1,,False
d18037e8.b36368,ui_gauge,°C,Temp Living,,Ambienti,Ambiente,2,6,4,,15,30,,{{value | number:1}},False
b4d30aad.66d788,ui_gauge,%,Umidità Living,,Ambienti,Ambiente,4,6,4,,30,70,,{{value | number:1}},False
6f149299.5cb66c,ui_gauge,°C,Temp Esterno,,Ambienti,Ambiente,6,6,4,,-10,50,,{{value | number:1}},False
af505d22.639058,ui_gauge,%,Umidità Esterno,,Ambienti,Ambiente,7,6,4,,40,100,,{{value | number:1}},False
e1e32b35.e52bd,ui_gauge,°C,Temp Camera,,Ambienti,Ambiente,3,6,4,,10,30,,{{value | number:1}},False
d0897d5b.aa1ac,ui_gauge,%,Umidità Camera,,Ambienti,Ambiente,5,6,4,,30,70,,{{value | number:1}},False
2857c6d4.4058c2,ui_gauge,°C,Puffer Basso,,Impianti Termici,Riserva Energia,3,0,0,,15,60,,{{value}},False
be60be33.05f138,ui_gauge,°C,Puffer Alto,,Impianti Termici,Riserva Energia,2,0,0,,15,60,,{{value}},False
87954e09.e579d8,ui_gauge,°C,Temp Collettore,,Impianti Termici,Solare,1,0,0,,30,60,,{{value}},False
4b70e660.2e1ac,ui_gauge,%,Modulazione Fiamma,,Impianti Termici,Caldaia Gas,2,0,0,,0,100,,{{value}},False
440c7fad.dc5698,ui_gauge,%,Velocità Pompa Solare,,Impianti Termici,Solare,2,0,0,,0,100,,{{value}},False
2cd6dfa8.fbf38,ui_chart,,,,Energia,Potenza Impegnata,1,0,0,,,,,,False
71aeaed6.a4d5b8,ui_button,TV Mode,,,Illuminazione,Illuminazione,10,0,0,,,,,,False
53b3ae4.c08ccd,ui_button,Sleep Mode,,,Illuminazione,Illuminazione,11,0,0,,,,,,False
9304c080.4e8648,ui_audio,,,,Ambienti,Ambiente,,,,,,,,,False
571e702d.9d50f,ui_numeric,Auto,,,Impianti Termici,Raffrescamento,3,0,0,,23,25,1,{{value}} °C,False
b0585e6a.102df8,ui_numeric,Eco,,,Impianti Termici,Pompa Calore,3,0,0,,16,22,1,{{value}} °C,False
6a5b9988.ef37d,ui_switch,{{msg.topic}},,,Impianti Termici,Pompa Calore,2,0,0,,,,,,False
6b9c0d86.28690c,ui_switch,{{msg.topic}},,,Impianti Termici,Raffrescamento,1,0,0,,,,,,False
669bf54a.91031c,ui_switch,{{msg.topic}},,,Impianti Termici,Caldaia Gas,1,0,0,,,,,,False
117544a9.1ec7cb,ui_switch,{{msg.topic}},,,Impianti Termici,Pompa Pavimento,2,0,0,,,,,,False
5106781e.4510f8,ui_chart,,,,Impianti Termici,Caldaia Gas,3,0,0,,,,,,False
cb66f5c8.2fe798,ui_text,,,,Impianti Termici,Pompa Pavimento,3,0,0,,,,,{{msg.payload}},False
f558b36d.f31058,ui_chart,,,,Energia,Immissione Rete,1,0,0,,,,,,False
a52920f.8a0476,ui_button,Tutte accese,,,Illuminazione,Illuminazione,12,0,0,,,,,,False
e5c6a02.cf0d46,ui_button,Tutte spente,,,Illuminazione,Illuminazione,13,0,0,,,,,,False
